,transaction_time,quantity,open,high,low,close,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
11038,2024-03-04 19:59:00,81.46600000000001,67471.7,67487.7,67442.0,67450.1,67450.0,1.954,67450.1,1.902
11039,2024-03-04 19:59:30,150.515,67450.0,67483.3,67412.8,67483.2,67483.2,3.623,67483.3,1.066
11040,2024-03-04 20:00:00,368.595,67483.2,67487.3,67325.9,67341.0,67340.9,0.561,67341.0,6.017
11041,2024-03-04 20:00:30,178.103,67340.9,67379.0,67301.1,67361.3,67361.2,2.553,67361.3,4.584
11042,2024-03-04 20:01:00,190.375,67361.2,67405.9,67354.8,67373.4,67373.4,2.989,67373.5,2.507
11043,2024-03-04 20:01:30,188.665,67373.4,67373.5,67300.5,67319.5,67319.4,1.69,67319.5,1.838
11044,2024-03-04 20:02:00,137.541,67319.4,67336.8,67251.0,67257.6,67257.6,2.04,67257.7,1.644
11045,2024-03-04 20:02:30,275.294,67257.7,67257.7,67177.2,67254.0,67254.0,4.914,67254.1,0.905
11046,2024-03-04 20:03:00,179.736,67254.1,67300.0,67247.4,67274.8,67274.8,2.059,67274.9,5.863
11047,2024-03-04 20:03:30,66.972,67274.9,67324.7,67268.7,67282.7,67282.6,0.413,67282.7,5.314
11048,2024-03-04 20:04:00,118.06400000000001,67282.7,67317.0,67254.0,67254.0,67254.0,1.236,67254.1,1.038
11049,2024-03-04 20:04:30,57.955,67254.0,67257.6,67232.0,67239.0,67239.0,0.584,67239.1,4.854
11050,2024-03-04 20:05:00,202.866,67239.1,67240.0,67158.4,67165.6,67165.6,2.247,67165.7,2.493
11051,2024-03-04 20:05:30,188.71,67165.7,67223.9,67151.0,67223.9,67223.9,5.916,67224.0,0.032
11052,2024-03-04 20:06:00,265.236,67224.0,67224.0,67134.2,67142.4,67142.3,1.172,67142.4,3.326
11053,2024-03-04 20:06:30,132.794,67142.4,67186.0,67142.3,67162.9,67162.8,1.721,67162.9,3.1
11054,2024-03-04 20:07:00,195.818,67162.8,67262.5,67138.2,67234.4,67234.3,0.21,67234.4,1.589
11055,2024-03-04 20:07:30,111.471,67234.4,67264.9,67218.5,67240.1,67239.0,1.769,67239.1,5.817
11056,2024-03-04 20:08:00,111.90400000000001,67239.1,67256.0,67198.4,67241.5,67241.5,10.445,67241.6,2.283
11057,2024-03-04 20:08:30,120.56400000000001,67241.6,67308.4,67234.0,67308.4,67308.4,6.869,67308.5,1.044
11058,2024-03-04 20:09:00,189.487,67308.5,67344.9,67304.4,67320.1,67320.0,32.487,67320.1,3.655
11059,2024-03-04 20:09:30,287.344,67320.1,67320.1,67256.0,67307.9,67307.9,0.152,67308.0,3.148
11060,2024-03-04 20:10:00,58.494,67307.9,67313.9,67296.6,67309.5,67309.5,2.572,67309.6,4.093
11061,2024-03-04 20:10:30,126.701,67309.5,67380.5,67302.9,67375.3,67375.2,2.169,67375.3,3.308
11062,2024-03-04 20:11:00,147.656,67375.2,67403.3,67356.0,67393.9,67393.8,4.626,67393.9,0.457
11063,2024-03-04 20:11:30,94.55,67393.9,67406.4,67344.5,67360.2,67360.2,2.525,67360.3,3.889
11064,2024-03-04 20:12:00,68.798,67360.2,67380.8,67341.8,67350.7,67350.6,0.117,67350.7,5.36
11065,2024-03-04 20:12:30,114.912,67350.6,67369.4,67300.0,67303.0,67302.9,2.968,67303.0,3.228
11066,2024-03-04 20:13:00,60.541000000000004,67302.9,67309.7,67290.3,67301.7,67301.7,1.834,67301.8,2.607
11067,2024-03-04 20:13:30,61.66,67301.8,67326.0,67281.5,67292.1,67292.0,3.062,67292.1,0.279
11068,2024-03-04 20:14:00,129.468,67292.2,67363.8,67274.2,67363.7,67364.5,3.324,67364.6,0.61
11069,2024-03-04 20:14:30,145.844,67364.6,67426.6,67364.6,67426.5,67426.5,2.101,67426.6,3.154
11070,2024-03-04 20:15:00,142.536,67426.6,67463.7,67370.6,67379.9,67379.8,5.054,67379.9,1.773
11071,2024-03-04 20:15:30,128.895,67379.8,67379.9,67300.0,67305.5,67305.5,3.429,67305.6,0.786
11072,2024-03-04 20:16:00,150.237,67305.6,67338.7,67284.9,67333.2,67333.2,7.726,67333.3,0.853
11073,2024-03-04 20:16:30,81.566,67333.3,67333.3,67259.5,67259.6,67259.5,2.131,67259.6,4.549
11074,2024-03-04 20:17:00,77.732,67259.5,67297.0,67257.6,67297.0,67296.9,1.946,67297.0,0.291
11075,2024-03-04 20:17:30,96.82000000000001,67297.0,67325.4,67280.0,67325.3,67325.3,4.893,67325.4,1.698
11076,2024-03-04 20:18:00,76.141,67325.4,67325.4,67268.0,67271.5,67271.4,0.439,67271.5,3.269
11077,2024-03-04 20:18:30,98.315,67271.5,67311.8,67250.0,67291.7,67291.7,0.275,67291.8,10.797
11078,2024-03-04 20:19:00,60.827,67291.8,67320.0,67276.2,67307.3,67307.2,0.661,67307.3,4.385
11079,2024-03-04 20:19:30,101.014,67307.2,67307.3,67236.6,67262.8,67262.7,6.675,67262.8,1.406
11080,2024-03-04 20:20:00,188.048,67262.7,67276.1,67160.6,67168.2,67168.7,0.889,67168.8,0.002
11081,2024-03-04 20:20:30,91.681,67168.8,67238.4,67161.0,67238.4,67238.3,7.826,67238.4,1.772
11082,2024-03-04 20:21:00,72.068,67238.3,67260.0,67220.0,67254.9,67254.8,4.902,67254.9,2.577
11083,2024-03-04 20:21:30,76.13,67254.9,67260.0,67217.3,67217.4,67217.3,1.035,67217.4,6.156
11084,2024-03-04 20:22:00,75.389,67217.4,67256.1,67195.9,67250.7,67250.7,0.23,67250.8,8.779
11085,2024-03-04 20:22:30,258.086,67250.8,67253.2,67192.8,67242.9,67242.9,2.507,67243.0,3.754
11086,2024-03-04 20:23:00,147.066,67242.9,67347.6,67242.9,67316.7,67316.7,3.391,67316.8,0.566
11087,2024-03-04 20:23:30,79.691,67316.8,67348.6,67316.8,67337.3,67337.2,0.602,67337.3,4.045
11088,2024-03-04 20:24:00,46.302,67337.2,67365.5,67326.4,67364.6,67364.6,6.435,67364.7,1.595
11089,2024-03-04 20:24:30,130.646,67364.7,67412.2,67364.6,67409.8,67409.7,3.635,67409.8,0.871
11090,2024-03-04 20:25:00,1133.778,67409.7,67513.5,67409.7,67482.9,67482.8,3.176,67482.9,5.962
11091,2024-03-04 20:25:30,76.139,67482.9,67490.7,67452.1,67462.0,67461.9,0.984,67462.0,2.216
11092,2024-03-04 20:26:00,97.823,67462.0,67474.8,67438.8,67456.7,67456.7,0.574,67456.8,6.318
11093,2024-03-04 20:26:30,77.043,67456.6,67469.6,67420.0,67426.5,67426.5,2.884,67426.6,1.679
11094,2024-03-04 20:27:00,84.184,67426.6,67469.1,67423.8,67461.1,67461.0,3.289,67461.1,0.899
11095,2024-03-04 20:27:30,63.851,67461.0,67469.0,67451.6,67460.2,67460.1,0.594,67460.2,3.832
11096,2024-03-04 20:28:00,206.50300000000001,67460.1,67469.1,67383.4,67390.0,67390.0,0.934,67390.1,3.025
11097,2024-03-04 20:28:30,133.286,67390.0,67418.9,67354.1,67407.1,67407.1,1.139,67407.2,3.877
11098,2024-03-04 20:29:00,341.181,67407.2,67421.6,67356.8,67389.6,67389.8,1.691,67389.9,1.549
11099,2024-03-04 20:29:30,40.228,67389.9,67400.0,67360.0,67360.2,67360.1,1.15,67360.2,5.125
11100,2024-03-04 20:30:00,132.362,67360.1,67399.9,67337.3,67355.6,67355.5,3.054,67355.6,3.42
11101,2024-03-04 20:30:30,146.797,67355.5,67465.6,67345.6,67449.3,67449.3,2.451,67449.4,0.7
11102,2024-03-04 20:31:00,1156.944,67449.4,67555.0,67449.3,67519.9,67519.9,7.177,67520.0,0.05
11103,2024-03-04 20:31:30,394.293,67520.0,67555.2,67519.9,67545.0,67545.0,179.615,67545.1,6.303
11104,2024-03-04 20:32:00,249.844,67545.0,67591.0,67545.0,67590.9,67590.9,6.135,67591.0,2.965
11105,2024-03-04 20:32:30,337.539,67591.0,67622.7,67546.4,67577.2,67577.1,9.07,67577.2,0.773
11106,2024-03-04 20:33:00,225.82,67577.1,67606.7,67549.9,67550.0,67549.9,1.358,67550.0,8.291
11107,2024-03-04 20:33:30,434.238,67549.9,67588.3,67500.0,67579.5,67579.5,10.368,67579.6,0.119
11108,2024-03-04 20:34:00,172.879,67579.6,67603.7,67500.0,67520.9,67520.9,9.008,67521.0,1.174
11109,2024-03-04 20:34:30,146.075,67521.0,67521.0,67487.2,67495.6,67495.6,8.145,67495.7,3.583
11110,2024-03-04 20:35:00,351.088,67495.6,67551.7,67495.6,67500.1,67500.0,5.913,67500.1,16.913
11111,2024-03-04 20:35:30,177.244,67500.0,67500.1,67443.8,67447.1,67447.0,1.613,67447.1,6.202
11112,2024-03-04 20:36:00,1118.4759999999999,67447.0,67693.5,67447.0,67648.8,67648.8,3.979,67648.9,5.365
11113,2024-03-04 20:36:30,303.639,67648.8,67648.8,67574.0,67601.7,67601.7,2.848,67601.8,0.186
11114,2024-03-04 20:37:00,655.784,67601.7,67751.2,67601.7,67702.0,67701.9,0.325,67702.0,10.358
11115,2024-03-04 20:37:30,1029.771,67702.0,67808.0,67689.5,67757.8,67757.7,2.387,67757.8,0.743
11116,2024-03-04 20:38:00,399.149,67757.7,67763.1,67670.0,67759.2,67759.2,0.569,67759.3,4.054
11117,2024-03-04 20:38:30,235.649,67759.2,67759.3,67692.8,67740.1,67740.0,0.653,67740.1,3.071
11118,2024-03-04 20:39:00,211.981,67740.0,67793.0,67730.0,67785.6,67785.6,2.265,67785.7,2.83
11119,2024-03-04 20:39:30,642.684,67785.7,67840.0,67770.1,67784.0,67784.0,0.739,67784.1,5.404
11120,2024-03-04 20:40:00,438.582,67784.0,67864.0,67759.0,67780.2,67780.1,1.987,67780.2,2.08
11121,2024-03-04 20:40:30,287.942,67780.2,67791.8,67697.4,67700.0,67699.9,3.9,67700.0,0.395
11122,2024-03-04 20:41:00,694.062,67700.0,67708.5,67567.6,67570.9,67570.8,7.163,67570.9,0.705
11123,2024-03-04 20:41:30,398.991,67570.8,67586.8,67495.5,67533.8,67533.7,2.211,67533.8,1.16
11124,2024-03-04 20:42:00,281.557,67533.8,67553.8,67479.0,67533.2,67533.2,2.097,67533.3,2.453
11125,2024-03-04 20:42:30,144.588,67533.2,67550.0,67487.1,67489.2,67489.2,2.291,67489.3,2.244
11126,2024-03-04 20:43:00,227.425,67489.2,67579.8,67473.3,67579.7,67579.7,1.34,67579.8,1.994
11127,2024-03-04 20:43:30,208.201,67579.8,67624.4,67565.5,67585.2,67585.1,3.851,67585.2,0.868
11128,2024-03-04 20:44:00,96.51,67585.1,67595.3,67550.3,67560.5,67560.4,1.666,67560.5,2.161
11129,2024-03-04 20:44:30,117.497,67560.5,67591.4,67530.9,67555.5,67555.4,5.38,67555.5,0.132
11130,2024-03-04 20:45:00,308.998,67555.9,67619.0,67512.2,67618.9,67618.9,7.109,67619.0,1.324
11131,2024-03-04 20:45:30,175.461,67619.0,67683.6,67576.6,67576.6,67576.6,1.768,67576.7,1.913
11132,2024-03-04 20:46:00,182.344,67576.6,67576.6,67507.6,67514.6,67514.5,2.449,67514.6,5.177
11133,2024-03-04 20:46:30,199.731,67514.6,67521.0,67461.0,67461.1,67461.1,2.937,67461.2,2.424
11134,2024-03-04 20:47:00,450.668,67461.1,67520.6,67396.4,67396.4,67396.2,0.09,67396.3,8.89
11135,2024-03-04 20:47:30,1223.746,67396.2,67396.2,67246.0,67300.0,67299.9,0.786,67300.0,1.122
11136,2024-03-04 20:48:00,503.662,67299.9,67328.1,67196.5,67196.6,67196.5,1.734,67196.6,3.042
